Designator,Comment,Description,Manufacturer,PartNumber,Quantity,Unit Price,WebLink
,,,,,,,
ANT1,PCB ANTENNA 2.4Ghz,PCB antenna 2.4Ghz,,PCB PRINT,1,,
C1,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C2,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C3,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C4,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C5,5.6p,+/- 0.25pF NP0 SMD 0402,Yageo,CC0402CRNPO9BN5R6,1,0.27,https://www.terraelectronica.ru/product/980955
C6,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C7,0.5p,+/- 0.25pF NP0 SMD 0402,Murata,GRM1555C1HR50BA01D,1,0.69,https://www.terraelectronica.ru/product/817877
C8,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C9,0.5p,+/- 0.25pF NP0 SMD 0402,Murata,GRM1555C1HR50BA01D,1,0.69,https://www.terraelectronica.ru/product/817877
C10,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C11,5.6p,+/- 0.25pF NP0 SMD 0402,Yageo,CC0402CRNPO9BN5R6,1,0.27,https://www.terraelectronica.ru/product/980955
C12,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C13,33p,0402 SMD,Yageo,CC0402JRNPO9BN330,1,0.24,https://www.terraelectronica.ru/product/367363
C14,10u,SMD TYPE A,Kemet,T491A106K010AT,1,5,https://www.terraelectronica.ru/product/556976
C15,33p,0402 SMD,Yageo,CC0402JRNPO9BN330,1,0.24,https://www.terraelectronica.ru/product/367363
C16,33p,0402 SMD,Yageo,CC0402JRNPO9BN330,1,0.24,https://www.terraelectronica.ru/product/367363
C17,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C18,100n,0402 SMD,Yageo,CC0402ZRY5V7BB104,1,0.22,https://www.terraelectronica.ru/product/543093
C19,27p,0402 SMD,Samsung,CL05C270JB5NNNC,1,0.24,https://www.terraelectronica.ru/product/863257
C20,27p,0402 SMD,Samsung,CL05C270JB5NNNC,1,0.24,https://www.terraelectronica.ru/product/863257
