Field=#~Integer~#~50|Field=Designator~String~Designator~224|Field=Comment~String~Comment~228|Field=Description~String~Description~191|Field=Manufacturer~String~Manufacturer~100|Field=PartNumber~String~PartNumber~126|Field=Quantity~Integer~Quantity~90|Field=Unit Price~String~Unit Price~90|Field=WebLink~String~WebLink~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~senocore.PrjPcb|ReportField=ProjectFullPath~W:\Projects\Senocore\senocore.PrjPcb|ReportField=Title~Bill of Materials For Project [senocore.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~91|ReportField=ReportTime~14:55:01|ReportField=ReportDate~27.08.2019|ReportField=ReportDateTime~27.08.2019 14:55:01|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~27.08.2019|ReportField=CurrentTime~14:35:58|ReportField=Date~|ReportField=DocumentFullPathAndName~W:\Projects\Senocore\senocore.SchDoc|ReportField=DocumentName~senocore.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~20.06.2019|ReportField=Organization~|ReportField=ProjectName~senocore.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~senocore.PrjPcb|ReportField=DataSourceFullPath~W:\Projects\Senocore\senocore.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|ANT1|PCB ANTENNA 2.4Ghz|PCB antenna 2.4Ghz||PCB PRINT|1||
2|C1|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
3|C2|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
4|C3|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
5|C4|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
6|C5|5.6p|+/- 0.25pF NP0 SMD 0402|Yageo|CC0402CRNPO9BN5R6|1|0.27|https://www.terraelectronica.ru/product/980955
7|C6|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
8|C7|0.5p|+/- 0.25pF NP0 SMD 0402|Murata|GRM1555C1HR50BA01D|1|0.69|https://www.terraelectronica.ru/product/817877
9|C8|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
10|C9|0.5p|+/- 0.25pF NP0 SMD 0402|Murata|GRM1555C1HR50BA01D|1|0.69|https://www.terraelectronica.ru/product/817877
11|C10|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
12|C11|5.6p|+/- 0.25pF NP0 SMD 0402|Yageo|CC0402CRNPO9BN5R6|1|0.27|https://www.terraelectronica.ru/product/980955
13|C12|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
14|C13|33p|0402 SMD|Yageo|CC0402JRNPO9BN330|1|0.24|https://www.terraelectronica.ru/product/367363
15|C14|10u|SMD TYPE A|Kemet|T491A106K010AT|1|5|https://www.terraelectronica.ru/product/556976
16|C15|33p|0402 SMD|Yageo|CC0402JRNPO9BN330|1|0.24|https://www.terraelectronica.ru/product/367363
17|C16|33p|0402 SMD|Yageo|CC0402JRNPO9BN330|1|0.24|https://www.terraelectronica.ru/product/367363
18|C17|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
19|C18|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
20|C19|27p|0402 SMD|Samsung|CL05C270JB5NNNC|1|0.24|https://www.terraelectronica.ru/product/863257
21|C20|27p|0402 SMD|Samsung|CL05C270JB5NNNC|1|0.24|https://www.terraelectronica.ru/product/863257
22|C21|10u|0805 SMD|Samsung|CL21A106KPFNNNG|1|1.2|https://www.terraelectronica.ru/product/984943
23|C22|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
24|C23|10u|0805 SMD|Samsung|CL21A106KPFNNNG|1|1.2|https://www.terraelectronica.ru/product/984943
25|C24|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
26|C25|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
27|C26|10u|SMD TYPE A|Kemet|T491A106K010AT|1|5|https://www.terraelectronica.ru/product/556976
28|C27|10u|0805 SMD|Samsung|CL21A106KPFNNNG|1|1.2|https://www.terraelectronica.ru/product/984943
29|C28|100n|0402 SMD|Yageo|CC0402ZRY5V7BB104|1|0.22|https://www.terraelectronica.ru/product/543093
30|DA1|OPA4376|Opamp  2.2-5.5 V, Offset 5μV|Texas Instruments|OPA4376AIPW|1||https://www.terraelectronica.ru/product/349931
31|DA2|OPA4376|Opamp  2.2-5.5 V, Offset 5μV|Texas Instruments|OPA4376AIPW|1||https://www.terraelectronica.ru/product/349931
32|DA3|CC2420|2.4 GHz transiver|Texas Instruments|CC2420RGZR|1|439|https://www.terraelectronica.ru/catalog/integralnye-mikroshemy-dlya-radiosvyazi-274?text=cc2420&search=cc2420
